ID,Age,Gender,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Family_Communication,Weekend_Usage_Hours,Addiction_Level
1,13,0,5,4.0,6,78,5,0.1,10,3,8,0,1.4,86,19,3.6,1.7,1.2,4,8.7,10.0
2,17,0,3,5.5,6,70,5,0.0,3,7,3,0,0.9,96,9,1.1,4.0,1.8,2,5.3,10.0
3,13,2,1,5.8,5,93,8,0.8,2,3,10,0,0.5,137,8,0.3,1.5,0.4,6,5.7,9.2
4,18,0,2,3.1,3,78,8,1.6,9,10,3,0,1.4,128,7,3.1,1.6,0.8,8,3.0,9.8
5,14,2,5,2.5,6,56,4,1.1,1,5,1,0,1.0,96,20,2.6,0.9,1.1,10,3.7,8.6
6,13,0,0,3.9,6,89,3,0.7,7,1,3,0,1.1,135,8,3.8,0.0,1.4,7,6.0,8.8
7,16,1,1,6.3,6,89,3,0.9,6,7,9,0,0.8,129,9,1.8,2.7,1.0,7,7.8,10.0
8,13,2,0,5.1,6,70,2,2.2,5,6,8,0,1.0,34,7,2.3,1.6,0.5,9,8.0,8.0
9,13,1,4,3.0,9,79,0,1.8,1,7,6,0,0.9,70,13,2.7,2.2,1.3,10,9.1,7.3
10,18,2,1,3.9,5,89,8,1.1,9,1,9,0,0.9,121,13,2.7,0.4,1.0,9,2.9,9.1
11,18,0,2,4.9,7,74,5,0.6,4,3,2,0,0.6,84,20,3.1,0.6,0.8,6,3.5,10.0
12,14,1,1,1.6,5,70,10,1.5,10,8,8,0,0.9,147,18,1.9,2.7,1.0,7,3.2,9.8
13,19,0,0,7.4,5,70,4,0.6,4,9,3,0,1.1,59,19,4.3,0.4,0.4,8,9.1,10.0
14,17,0,5,8.7,5,95,6,1.9,2,8,2,1,0.7,76,8,4.2,1.3,1.5,5,4.6,10.0
15,15,2,2,6.4,8,79,3,0.0,2,8,9,1,0.5,50,14,5.0,1.2,0.0,5,5.6,10.0
16,19,2,1,4.4,6,97,6,1.6,8,10,4,1,1.2,134,17,2.2,1.5,1.8,4,6.8,10.0
17,15,0,4,5.4,7,87,4,2.3,6,6,9,0,0.9,36,20,2.6,1.3,1.1,9,1.4,10.0
18,15,2,0,3.0,6,80,5,1.4,1,4,2,1,1.2,95,16,3.0,1.9,0.2,7,7.5,10.0
19,19,0,5,7.9,8,96,6,0.1,5,2,4,1,1.0,58,9,2.2,1.9,1.3,5,3.5,10.0
20,18,1,2,5.4,5,69,4,1.3,2,7,8,0,0.6,83,19,1.6,1.0,0.4,7,6.1,10.0
21,15,0,2,3.0,5,83,4,1.1,1,9,4,1,1.5,58,6,1.7,1.7,2.0,8,6.7,6.2
22,16,0,2,2.7,6,92,3,1.4,2,9,3,1,1.7,112,17,2.1,2.6,0.9,10,5.7,9.9
23,14,2,1,2.7,5,60,9,0.0,4,6,2,0,1.7,117,16,2.5,1.3,0.2,5,4.8,9.5
